iter	Passed	Remaining
0	147	147745
1	149	74467
2	150	50029
3	151	37758
4	153	30477
5	154	25541
6	155	22015
7	156	19391
8	157	17342
9	158	15682
10	159	14351
11	161	13280
12	163	12379
13	164	11571
14	165	10878
15	167	10271
16	168	9741
17	169	9266
18	171	8834
19	172	8460
20	173	8110
21	176	7852
22	179	7611
23	180	7341
24	181	7092
25	183	6889
26	185	6680
27	187	6496
28	188	6313
29	189	6139
30	191	5996
31	193	5842
32	194	5691
33	195	5547
34	196	5413
35	197	5297
36	198	5173
37	199	5061
38	201	4957
39	202	4857
40	203	4764
41	205	4688
42	207	4608
43	208	4526
44	209	4445
45	210	4366
46	212	4303
47	213	4233
48	214	4168
49	216	4105
50	217	4044
51	218	3988
52	220	3943
53	222	3890
54	223	3837
55	224	3781
56	225	3727
57	226	3678
58	227	3634
59	228	3587
60	230	3548
61	231	3500
62	232	3455
63	233	3415
64	235	3381
65	236	3352
66	238	3315
67	239	3278
68	240	3241
69	241	3205
70	242	3175
71	243	3143
72	245	3116
73	246	3084
74	247	3053
75	248	3024
76	250	3001
77	251	2977
78	253	2951
79	254	2923
80	255	2895
81	256	2871
82	257	2842
83	258	2816
84	259	2793
85	260	2772
86	261	2747
87	262	2724
88	263	2702
89	265	2686
90	267	2667
91	268	2648
92	269	2629
93	270	2610
94	272	2594
95	273	2577
96	275	2561
97	276	2543
98	277	2525
99	278	2509
100	280	2492
101	281	2479
102	282	2464
103	284	2447
104	285	2429
105	286	2413
106	287	2397
107	288	2384
108	289	2367
109	290	2353
110	291	2336
111	292	2319
112	293	2304
113	295	2293
114	296	2283
115	297	2269
116	298	2254
117	299	2239
118	300	2226
119	302	2216
120	303	2203
121	304	2188
122	305	2180
123	306	2167
124	307	2154
125	309	2143
126	310	2131
127	311	2123
128	313	2113
129	314	2102
130	315	2089
131	316	2078
132	317	2069
133	318	2058
134	319	2048
135	320	2037
136	321	2025
137	322	2014
138	323	2003
139	324	1993
140	325	1985
141	326	1975
142	328	1966
143	329	1956
144	330	1946
145	331	1936
146	332	1928
147	333	1919
148	334	1911
149	336	1904
150	337	1896
151	338	1887
152	339	1880
153	341	1874
154	342	1866
155	343	1859
156	344	1850
157	345	1842
158	346	1835
159	348	1828
160	349	1818
161	350	1812
162	351	1805
163	352	1797
164	353	1788
165	354	1781
166	356	1776
167	357	1770
168	358	1763
169	359	1755
170	360	1748
171	361	1742
172	363	1735
173	364	1728
174	365	1723
175	366	1715
176	367	1707
177	368	1701
178	369	1695
179	371	1691
180	372	1686
181	374	1680
182	375	1674
183	376	1668
184	377	1663
185	378	1657
186	380	1652
187	381	1646
188	382	1640
189	383	1633
190	384	1628
191	385	1623
192	387	1620
193	388	1614
194	389	1609
195	390	1603
196	391	1597
197	393	1593
198	394	1588
199	396	1585
200	397	1579
201	398	1573
202	400	1573
203	402	1569
204	403	1564
205	404	1560
206	406	1555
207	407	1550
208	409	1550
209	411	1546
210	412	1542
211	414	1539
212	416	1537
213	417	1533
214	418	1529
215	420	1525
216	421	1520
217	422	1515
218	423	1511
219	425	1507
220	426	1504
221	427	1499
222	429	1495
223	431	1495
224	433	1491
225	434	1488
226	435	1484
227	437	1479
228	438	1475
229	439	1471
230	441	1471
231	443	1467
232	444	1463
233	446	1461
234	448	1458
235	449	1454
236	450	1450
237	451	1446
238	452	1441
239	454	1438
240	455	1434
241	457	1431
242	458	1427
243	459	1423
244	461	1421
245	462	1418
246	464	1414
247	465	1411
248	466	1407
249	468	1404
250	469	1400
251	470	1398
252	472	1394
253	473	1390
254	475	1389
255	477	1387
256	479	1385
257	480	1382
258	482	1379
259	483	1375
260	484	1372
261	486	1370
262	488	1367
263	489	1363
264	491	1361
265	492	1360
